Nombre,Recursos,Inactivo
ludoviuce,300,Sí
Sadevatandas,299,No
GostBlack,296,No
Vicvatten,294,No
saha35,291,No
Toros34,288,No
JSMORALES,281,No
kayrahan,277,No
Ixsy,272,No
ephedante,270,No
Defiant,270,No
yogalec,270,No
Drakonis,267,No
Eldwine,266,Sí
Leon,262,No
AURA,256,No
oceanschumi_rigel,251,No
Hanzow,251,No
Sas,249,No
Gaizan,245,No
eer234642,243,No
blckshp,240,No
Tierdeath,240,No
MANTEL,239,No
Lunario,233,No
EpicDE3,231,Sí
tomaszewski89,231,No
Jurek,228,No
samaelchrist,227,No
sanchez,226,No
abstargo1234,220,No
Will,219,No
GGungerit,217,No
lalakrr,214,No
FCakir,211,No
Karyantos,205,No
cenvint,202,No
Nynabatu,201,No
craneo43muerto,197,No
DavidShuffler,194,Sí
yagammi0,193,No
SaintVladimir,191,No
Spion,187,No
Narimaci,186,No
Sigmu,184,No
Chorinet,183,No
Rockyhally,183,No
XaveriuS,181,No
SorQuer,179,No
czarnywilk,178,Sí
RoyFoker,177,No
iffi,177,No
julian91a,175,No
Umbrella_corporation,174,No
Raeckon,170,No
urungu51,164,Sí
PolakZPolski,164,No
dddd,162,Sí
fruitier,160,No
Klaus,159,No
Xepio,159,Sí
elouan,156,No
escalofrio,155,Sí
--hk--,154,No
hook,148,No
Ede,146,No
SaYa,145,No
Argento,145,Sí
R4Z0K,143,No
jimi,141,No
liborio29,140,No
Curiosity,137,No
Gncx,136,No
Aleksa,135,No
Neyrovy,135,No
trestean,134,Sí
piorun,133,Sí
tulen,133,Sí
KRL,131,No
EBEN,130,No
Wrzesiu,130,Sí
oleg,129,No
kerrigan421,128,No
Tilk2375,127,No
enp44,123,No
Draguslava,122,No
traf,121,No
alfaonevortexspace,120,No
erwiner,118,No
Dom,118,No
Bomber,117,No
krzyzakos,116,Sí
JIINNXXX,115,No
Albatross,114,No
uzman0101,111,No
boudiou50,111,No
Sheva,109,Sí
adrianlewy,109,Sí
Vankisa,108,No
BADWOLF,107,No
marmal,106,No
paulo76,106,No
Wie_Wiur_aS,106,No
keciol,105,Sí
Athme,105,No
Nox69,105,No
Babsi,102,No
Matador,100,Sí
YTTKINGTTY,100,Sí
Soval,97,No
jojo,96,No
tresdiesiseis,96,No
kofaj,95,Sí
SrTUNERA,92,No
Fibriz0,90,No
Deadlyn,90,Sí
VillasBoas,89,Sí
YellitO,88,No
Muhasebeci,86,No
rock,86,No
peterpan,86,Sí
Chinturo,86,No
qwertyu43,86,No
Tntslayer,84,Sí
sirette,84,No
thematipl,83,No
GalacticFederation,82,Sí
Broken_Star,79,No
olsah,79,Sí
AMRA,78,Sí
Epic,77,No
Geronimo,77,Sí
Zbyszko03,76,No
JOSEPHXDXD,75,Sí
Ptasior86,75,Sí
Mozi,74,Sí
celinski,73,No
Agaret,73,No
palpatine,71,No
zdta,71,Sí
Aegarax,71,Sí
shakaa69,71,Sí
wyyu,70,Sí
Maronary,70,No
MaMKaTu,70,No
Arcann,69,Sí
Citizen,69,No
Kelfi,68,Sí
potepiony,68,No
timescroll117,68,No
Ethos,67,Sí
Beo,67,Sí
ICARUS,66,Sí
UyKuSuZ,66,Sí
bilemenko,65,No
assamite,65,No
Nobody,64,Sí
Tskynet,64,Sí
Ardad,64,No
lmav94,63,No
aht76,63,Sí
Surstromming,62,No
Shtako,62,Sí
ninos,62,Sí
Katushh,62,Sí
MAKC,61,Sí
Edgy,61,Sí
Rigantis,60,Sí
Lenee,60,Sí
Loky,60,Sí
Mikwat,60,No
Wuja,59,Sí
MinoTavr,59,Sí
Dragonrouge56,59,No
fenixjug,58,No
YunaCZ,57,No
DDF,57,Sí
lyukci,57,No
Schnappi,56,Sí
dun,56,Sí
Woolsey,56,No
rola,55,No
montreal,55,Sí
thor,54,Sí
Revan7,53,No
WolfieBlackWolf,53,Sí
Untouchable,53,Sí
Lionel_jonson,53,Sí
Asdatis,53,Sí
cronosolaris,52,Sí
Maestro,52,Sí
RyukxX,52,No
zero121,52,No
BLACK,52,No
math13,52,No
maxlan,51,No
jetSSF,51,No
kratos,50,Sí
Panglari,50,Sí
Bizio,50,No
mar,50,No
DukeSpencer,50,Sí
Juliana,50,Sí
ManDudeMikey,49,Sí
Pyc,49,No
LordVader,49,Sí
Dav10,49,No
777_,48,Sí
Berthezen,48,Sí
MakakoVe,48,No
Bloodie,48,Sí
BRUTALluckoVK,48,Sí
Medusa,48,Sí
Riddler,48,Sí
OHanness,47,Sí
ultron,47,Sí
swatm,47,No
fwested,46,Sí
EliasJosue,46,No
Aytekint,46,No
Ashons,45,Sí
alex1226,45,Sí
LALIMAK1,45,No
Ocewin,44,Sí
Meb,44,No
Frog,44,Sí
Sinders,44,Sí
mustafaantonio,44,No
BabyYoda,44,Sí
PaxOttomans,43,Sí
Korny,42,Sí
TRISTESSE,42,Sí
Anatar,41,Sí
LeonFire10,41,Sí
Vishous,41,No
Gauchaud,41,Sí
SirNoir,40,Sí
walker,40,No
nemo,40,Sí
Darkerpoussin,39,Sí
morty,39,Sí
TMBoy,39,No
Nefaan,38,Sí
Turko,38,No
KessaHun,38,No
Hiken,38,No
Galadriel,38,No
6TheCobra8,38,Sí
Poetazul,38,Sí
jaky,37,Sí
crucho,37,Sí
SilenT,37,Sí
Aethelgard,37,Sí
Pipou,37,Sí
cyberpalomo,37,Sí
cdanz0760,37,No
Notex,37,Sí
jekus,36,Sí
Sync,36,Sí
goldenbaboon,35,Sí
shadow,35,Sí
obi,35,Sí
Nero1280,35,Sí
EMPERADOR_40k,35,Sí
jamiryo,35,Sí
Balthazar19,35,No
Bankov,35,Sí
PABLITOR66,34,Sí
Lezo,34,Sí
ninja386,34,No
BialyRastuH,33,Sí
Sairus,33,Sí
KreciK,33,Sí
Zix,33,No
Toshiro,33,No
PuNiSh3R54,32,No
Pandalon,32,Sí
Rodrhym,32,Sí
danielo19888,32,Sí
Tupendeja,32,Sí
Digimen,32,Sí
jvii,32,Sí
MaxUA,32,Sí
yoryo195,32,Sí
DrCooper,32,Sí
Nucleo,32,Sí
stormeed,32,Sí
doberman,31,No
DoNPL,31,Sí
Erixxey,31,Sí
Roqtopa,31,Sí
C0C0,31,No
pizarro,31,Sí
sargonferso,31,Sí
maximumfuego,31,Sí
ovi,31,Sí
Dehumanized13,31,Sí
BznTT,30,Sí
HinarionGC,30,Sí
Gauffre,30,Sí
Bjafra,30,Sí
AlanDR,30,Sí
poelon,30,Sí
CristianGS,30,Sí
Shwagi,29,Sí
marc,29,Sí
Zeta,29,Sí
Comtesse,29,Sí
dandiniko,29,Sí
frenk,29,Sí
darcksteve,28,Sí
COCOREY,28,No
Marius,28,Sí
Shadower,28,Sí
Pato,28,Sí
LiLaLu,28,Sí
Cuner,28,No
kingdraco,28,No
Smoke999,27,Sí
Ande,27,Sí
susano,27,Sí
Metafase,27,Sí
Ramirokuey,27,Sí
DimSSSS,27,Sí
BarbaraCZ,27,Sí
kappa,26,Sí
Sanders,26,Sí
Xenos1,26,No
Zon3,26,Sí
Onur,26,Sí
Drpalo,26,Sí
szyber,26,No
Yakushi,26,Sí
Andrei,26,No
OzzySixx,26,Sí
blitzslb,26,Sí
LordDarkness88,26,Sí
Maniek36,25,No
Tusune,25,No
kevin,25,Sí
Alex_Elsinico,25,Sí
Iraudy,25,Sí
1GOR,25,Sí
Feza,25,No
BruceKrieg,25,Sí
Arifjan,25,No
takuaszi,25,Sí
Moisso,25,No
alexanderschlagonaut,25,No
Arty_CZ,24,Sí
btpirata,24,No
vvs,24,Sí
CegoDeSniperBR,24,No
Riddick,24,Sí
sratonninja,24,No
preran,24,Sí
auguste,24,No
thsouzarj21,24,Sí
Kurotiger,24,Sí
Kiuik,24,Sí
Tilogor,24,Sí
quentinm0309,24,Sí
GTO,23,Sí
Moonpsy,23,Sí
Toledo,23,Sí
Touya,23,Sí
yuue,23,Sí
iceman55,23,No
oyunbozan,22,Sí
Olexii,22,Sí
Destroyer_Fr,22,No
Red776,22,No
LastMohawk,22,No
TonyJorge,22,Sí
Necrosir,22,Sí
XxEmperorKeroxX,22,Sí
pirata75,22,Sí
Kriegarius,22,Sí
Scienxyr,22,Sí
X83480,21,No
Videtepoch,21,Sí
Snoppi,21,No
Nexu,21,Sí
DestinyRyu,21,Sí
koksi,21,Sí
emmanuel016rod,21,No
gabprime,21,Sí
Loki,21,Sí
luizito,21,Sí
Rafal1981,20,No
warkal,20,No
asdfgh,20,Sí
Cuoreduro,20,Sí
joyboy,20,No
Aleks93,20,No
Joel,20,No
VladyOp,20,No
Giannis,20,Sí
fergys666,20,Sí
Inspireko,19,Sí
truc01,19,Sí
TJ2Troop,19,No
benanto81,19,Sí
expert,19,Sí
Gwahidar,19,Sí
Sapeian,19,Sí
BaksterStokman,19,Sí
Co1dNigh7,19,Sí
Bernie111,19,Sí
Gabriel,19,Sí
nevermimd,18,Sí
Styx,18,Sí
Nick,18,Sí
Spacewiz,18,Sí
pgeto,18,Sí
eM-Jei,18,Sí
Feuki77,18,No
Becks,18,Sí
Bulut55,18,Sí
TwistedStudios,18,No
Hudzin,18,Sí
Srudel,17,Sí
Lluis,17,Sí
raulcba,17,Sí
farmaura,17,No
shadowmasters,17,No
javiercai,17,Sí
ferlbo,17,Sí
bateche,17,Sí
lika,17,Sí
Unik,17,Sí
Tidrok,17,Sí
skull1,17,Sí
DonniCisco,16,Sí
KuKuDi,16,Sí
danteSKY,16,Sí
Gosu97,16,Sí
GZ37,16,No
amv1011,16,Sí
apophis,16,Sí
Kaladaran,16,Sí
Thier,16,Sí
Damiok,16,Sí
Sleinad,16,Sí
Rafiny9l,15,No
argarn,15,Sí
aztek,15,Sí
StrikeR,15,Sí
Vaindil,15,Sí
PitufoMakinero,15,Sí
JuanMDH,15,Sí
Esco,15,No
REYSTEVEX,15,Sí
Tani,15,No
D3skCroAck,15,Sí
kroonium,15,Sí
Blake_Valentain2469,15,Sí
Dunmord,15,Sí
Puricul,15,Sí
Luy83wch,15,Sí
freuudd,15,Sí
Rafalovka,15,Sí
Heroofwar,14,Sí
varakaii,14,Sí
ivan2,14,Sí
JORDANft,14,Sí
Alcatraz,14,Sí
daimon1,14,Sí
TuKcher0,14,Sí
Gustav_Gluk,14,Sí
Widowmaker,14,Sí
ieiko,14,Sí
Chise,13,Sí
Shankz,13,Sí
Gallegod,13,Sí
BrotherBear,13,Sí
Nordik66,13,Sí
Adm_Bruce,13,Sí
Finek,13,Sí
beelzebub,13,Sí
Tedium,13,No
VDR917,13,Sí
Hilunis,13,Sí
Arma,13,No
1123,13,Sí
WindiHUN,13,No
Loop,13,Sí
ChinoGV78,13,Sí
kimn,13,Sí
ChicaoSouza,12,No
VolTrazth,12,No
Julien18,12,Sí
Nelson1982,12,Sí
Ned,12,Sí
Kul,12,No
Wella,12,Sí
Seaboircil,12,Sí
LordRog,12,Sí
bladesling12,12,Sí
NANEK,12,Sí
Ryiel,11,Sí
EVA,11,Sí
Roy,11,No
Dexter,11,Sí
grygory,11,Sí
1beztakt1,11,Sí
lili57,11,Sí
lorehunter,10,Sí
Myxhelo,10,Sí
Vermileigh,10,Sí
SheaxL,10,Sí
The_Sigillite,10,Sí
SnipeaxX,10,Sí
Lady_K,10,Sí
Kongkaffe,10,Sí
tianm,10,Sí
passive,10,Sí
Larakiry,10,Sí
ZuGs,9,Sí
Jareczek22,9,Sí
vincentaquino420,9,Sí
Junglist,9,Sí
osuruk,9,Sí
Kyert26,9,Sí
gagyy,9,Sí
Mon14,9,Sí
thealucardmaster1,9,No
Raw,9,Sí
Joker2006,9,No
1500,9,Sí
yerom8,9,Sí
asoop123,9,Sí
senn,9,No
Oth,9,Sí
LeBrightsword,8,Sí
Guillaume,8,Sí
1904erRaul,8,Sí
Eymencii,8,Sí
zdrawko,8,No
kory_369,8,Sí
JuanPa,8,Sí
Boatca,8,Sí
DJ_Montes,8,Sí
Duije,8,Sí
Arath,8,Sí
hypokrit26,8,Sí
PeNa,8,No
SashaOtto,8,Sí
Daigust,8,Sí
ivnmitico579,8,No
ceresit,8,No
teck,7,No
Daniel,7,Sí
Zero0,7,No
krzysztof,7,Sí
JazdaRoman,7,Sí
tdk_128,7,Sí
molll,7,Sí
AgaTasmanCZ,7,Sí
nivu,7,Sí
alkoholik,7,Sí
jedymaster,7,No
Ariel,7,Sí
Videus,7,Sí
bobby,7,Sí
cabo,7,Sí
Koopa,6,Sí
Alexvalallan,6,Sí
Ewos,6,Sí
Sarat,6,Sí
Meteoryt,6,Sí
arturo18bolo,6,No
lewa,6,Sí
Z3ranto,6,Sí
capibara69,6,Sí
MonarchNote,6,Sí
Kenji_krow,6,Sí
Ankhaan,6,Sí
negra,6,Sí
V-Valentines,6,Sí
Darid,5,Sí
vavara,5,Sí
Revis,5,Sí
Karpi,5,Sí
Emperor,5,Sí
Shelby-Protel,5,Sí
jusnfran38,5,Sí
Jano,5,No
Mbacka17,5,Sí
Obby,5,Sí
Dyno,5,Sí
cneo,5,Sí
Kotlet,5,Sí
Krwiopijca,5,Sí
WickBond,5,Sí
Smyczek,5,Sí
Wadzio,5,Sí
kikopl,5,Sí
2911,4,Sí
Alvarex,4,Sí
11DENUS11,4,Sí
Adamo,4,Sí
stephenvaughan87,4,No
erianolomee,4,Sí
skrapycoco,4,Sí
Nigthcrawler,4,Sí
Dario643257,4,Sí
Ardenas,4,Sí
fhgggg,4,Sí
tadzik,4,Sí
StirTh3Pot,4,Sí
jaspien7,4,Sí
Hyverion,4,Sí
Dana,3,Sí
SpaceCowboy,3,Sí
Jericho,3,Sí
AstoBits,3,Sí
Thebest7k15,3,Sí
ITDiablo,3,Sí
R2D2,3,Sí
Carcass1313,3,Sí
Nevadoo,3,Sí
Djablo,3,No
esparta,2,No
Scoutsniper,2,Sí
Sirblanc,2,Sí
redphoenix44,2,Sí
Zeridan,2,Sí
Booos,2,Sí
wushuguy,2,Sí
qazwsx16,2,Sí
adamdugi,1,Sí
MCTVDC,1,Sí
Walker,1,Sí
trooperzzz,1,Sí
VENROK71,1,Sí
Furiyin,0,Sí
Jarlaxle,0,Sí
Deltaus,0,Sí
CthUwU,0,Sí
