Nombre,Recursos,Inactivo
potepiony,22,No
Nobody,22,Sí
Ptasior86,20,Sí
COCOREY,19,No
Pandalon,17,Sí
OHanness,16,Sí
goldenbaboon,16,Sí
Ocewin,16,Sí
StrikeR,16,Sí
BialyRastuH,15,Sí
Chise,15,Sí
shadow,15,Sí
Gallegod,15,No
varakaii,14,Sí
morty,13,Sí
Lluis,13,Sí
SilenT,12,Sí
continental,12,Sí
D3ST3RR4DO,10,Sí
Olexii,10,Sí
Rodrhym,10,Sí
vavara,10,No
Nick,10,Sí
jamiryo,10,Sí
Katushh,10,Sí
aztek,9,Sí
obi,8,Sí
Curiosity,8,No
Erixxey,7,Sí
Sanders,7,Sí
Arty_CZ,6,Sí
peterpan,5,Sí
Frog,5,Sí
Onur,5,Sí
Rafal1981,4,No
vvs,4,Sí
KuKuDi,4,No
Patrikh,3,No
Koopa,3,Sí
Scoutsniper,3,Sí
JazdaRoman,2,Sí
Junglist,2,Sí
Maestro,1,Sí
Jareczek22,1,Sí
Furiyin,0,No
Ryiel,0,Sí
jusnfran38,78,No
